(4, 3, {'free_bw': 17.99990407673861, 'delay': 0, 'loss': 0.0, 'used_bw': 9.592326139088475e-05, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 33.54})
(4, 8, {'free_bw': 9.999904047976012, 'delay': 0, 'loss': 0.0, 'used_bw': 9.595202398800495e-05, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 36.06})
(4, 6, {'free_bw': 10.999904047976012, 'delay': 0, 'loss': 0.0, 'used_bw': 9.595202398800931e-05, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 25.0})
(4, 5, {'free_bw': 26.99990405756546, 'delay': 0, 'loss': 0.0, 'used_bw': 9.59424345392778e-05, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 33.54})
(3, 5, {'free_bw': 24.999856115107914, 'delay': 0, 'loss': 0.0, 'used_bw': 0.0001438848920863271, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 30.0})
(3, 2, {'free_bw': 22.999856115107914, 'delay': 3.9925575256347656, 'loss': 0.0, 'used_bw': 0.00014388489208633364, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 33.54})
(5, 6, {'free_bw': 22.999856086348192, 'delay': 0, 'loss': 0.0, 'used_bw': 0.00014391365180891667, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 31.62})
(7, 6, {'free_bw': 12.999904067152993, 'delay': 1.2809038162231445, 'loss': 0.0, 'used_bw': 9.593284700709444e-05, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 31.62})
(7, 12, {'free_bw': 14.999904067152993, 'delay': 115.19491672515869, 'loss': 0.0, 'used_bw': 9.593284700709444e-05, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 30.0})
(7, 8, {'free_bw': 23.999904067152993, 'delay': 2.1616220474243164, 'loss': 0.0, 'used_bw': 9.593284700709444e-05, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 46.1})
(8, 11, {'free_bw': 28.999856086348192, 'delay': 1.8413066864013672, 'loss': 0.0, 'used_bw': 0.00014391365180891667, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 40.31})
(8, 10, {'free_bw': 23.999808134305987, 'delay': 2.206563949584961, 'loss': 0.0, 'used_bw': 0.00019186569401418888, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 46.1})
(8, 2, {'free_bw': 25.99990407673861, 'delay': 1.840829849243164, 'loss': 0.0, 'used_bw': 9.592326139088475e-05, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 38.08})
(10, 9, {'free_bw': 29.999856100729488, 'delay': 2.5568008422851562, 'loss': 0.0, 'used_bw': 0.00014389927051064165, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 31.62})
(10, 16, {'free_bw': 19.999808134305987, 'delay': 1.8919706344604492, 'loss': 0.0, 'used_bw': 0.00019186569401418888, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 41.23})
(9, 2, {'free_bw': 20.999856115107914, 'delay': 4.289507865905762, 'loss': 0.0, 'used_bw': 0.0001438848920863271, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 42.72})
(9, 1, {'free_bw': 25.999904067152993, 'delay': 2.2219419479370117, 'loss': 0.0, 'used_bw': 9.59328470070988e-05, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 31.62})
(12, 14, {'free_bw': 18.999856086348192, 'delay': 2.2728443145751953, 'loss': 0.0, 'used_bw': 0.00014391365180891014, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 36.06})
(12, 11, {'free_bw': 23.99990405756546, 'delay': 2.1272897720336914, 'loss': 0.0, 'used_bw': 9.59424345392778e-05, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 50.0})
(12, 13, {'free_bw': 17.99990405756546, 'delay': 1.7597675323486328, 'loss': 0.0, 'used_bw': 9.59424345392778e-05, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 31.62})
(16, 11, {'free_bw': 18.999856100729488, 'delay': 2.337932586669922, 'loss': 0.0, 'used_bw': 0.00014389927051064165, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 50.99})
(16, 15, {'free_bw': 24.999856100729488, 'delay': 2.7396678924560547, 'loss': 0.0, 'used_bw': 0.00014389927051064165, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 50.0})
(16, 17, {'free_bw': 25.999808134305987, 'delay': 3.0698776245117188, 'loss': 0.0, 'used_bw': 0.00019186569401418888, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 50.0})
(11, 15, {'free_bw': 29.99980811513092, 'delay': 1.9488334655761719, 'loss': 0.0, 'used_bw': 0.00019188486907854686, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 41.23})
(11, 14, {'free_bw': 29.999856086348192, 'delay': 2.1104812622070312, 'loss': 0.0, 'used_bw': 0.00014391365180891667, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 42.43})
(15, 14, {'free_bw': 27.999856086348192, 'delay': 2.067446708679199, 'loss': 0.0, 'used_bw': 0.00014391365180891014, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 41.23})
(15, 18, {'free_bw': 20.373478313012274, 'delay': 2.14231014251709, 'loss': 0.0, 'used_bw': 2.6265216869877253, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 20.0})
