(4, 3, {'free_bw': 0, 'delay': 2.25067138671875, 'loss': 0, 'used_bw': 0, 'pkt_err': 0, 'pkt_drop': 0, 'distance': 0})
(4, 8, {'free_bw': 0, 'delay': 1.356363296508789, 'loss': 0, 'used_bw': 0, 'pkt_err': 0, 'pkt_drop': 0, 'distance': 0})
(4, 6, {'free_bw': 0, 'delay': 1.5070438385009766, 'loss': 0, 'used_bw': 0, 'pkt_err': 0, 'pkt_drop': 0, 'distance': 0})
(4, 5, {'free_bw': 0, 'delay': 5.035877227783203, 'loss': 0, 'used_bw': 0, 'pkt_err': 0, 'pkt_drop': 0, 'distance': 0})
(3, 5, {'free_bw': 0, 'delay': 2.436518669128418, 'loss': 0, 'used_bw': 0, 'pkt_err': 0, 'pkt_drop': 0, 'distance': 0})
(3, 2, {'free_bw': 0, 'delay': 6.011486053466797, 'loss': 0, 'used_bw': 0, 'pkt_err': 0, 'pkt_drop': 0, 'distance': 0})
(5, 6, {'free_bw': 0, 'delay': 1.699686050415039, 'loss': 0, 'used_bw': 0, 'pkt_err': 0, 'pkt_drop': 0, 'distance': 0})
(7, 6, {'free_bw': 0, 'delay': 1.753687858581543, 'loss': 0, 'used_bw': 0, 'pkt_err': 0, 'pkt_drop': 0, 'distance': 0})
(7, 12, {'free_bw': 0, 'delay': 2.6214122772216797, 'loss': 0, 'used_bw': 0, 'pkt_err': 0, 'pkt_drop': 0, 'distance': 0})
(7, 8, {'free_bw': 0, 'delay': 2.4355649948120117, 'loss': 0, 'used_bw': 0, 'pkt_err': 0, 'pkt_drop': 0, 'distance': 0})
(8, 11, {'free_bw': 0, 'delay': 2.06756591796875, 'loss': 0, 'used_bw': 0, 'pkt_err': 0, 'pkt_drop': 0, 'distance': 0})
(8, 10, {'free_bw': 0, 'delay': 1.6540288925170898, 'loss': 0, 'used_bw': 0, 'pkt_err': 0, 'pkt_drop': 0, 'distance': 0})
(8, 2, {'free_bw': 0, 'delay': 1.7254352569580078, 'loss': 0, 'used_bw': 0, 'pkt_err': 0, 'pkt_drop': 0, 'distance': 0})
(10, 9, {'free_bw': 0, 'delay': 2.394556999206543, 'loss': 0, 'used_bw': 0, 'pkt_err': 0, 'pkt_drop': 0, 'distance': 0})
(10, 16, {'free_bw': 0, 'delay': 3.49581241607666, 'loss': 0, 'used_bw': 0, 'pkt_err': 0, 'pkt_drop': 0, 'distance': 0})
(9, 2, {'free_bw': 0, 'delay': 3.1676292419433594, 'loss': 0, 'used_bw': 0, 'pkt_err': 0, 'pkt_drop': 0, 'distance': 0})
(9, 1, {'free_bw': 0, 'delay': 2.2829771041870117, 'loss': 0, 'used_bw': 0, 'pkt_err': 0, 'pkt_drop': 0, 'distance': 0})
(12, 14, {'free_bw': 0, 'delay': 3.631472587585449, 'loss': 0, 'used_bw': 0, 'pkt_err': 0, 'pkt_drop': 0, 'distance': 0})
(12, 11, {'free_bw': 0, 'delay': 2.505660057067871, 'loss': 0, 'used_bw': 0, 'pkt_err': 0, 'pkt_drop': 0, 'distance': 0})
(12, 13, {'free_bw': 0, 'delay': 5.105853080749512, 'loss': 0, 'used_bw': 0, 'pkt_err': 0, 'pkt_drop': 0, 'distance': 0})
(16, 11, {'free_bw': 0, 'delay': 3.069639205932617, 'loss': 0, 'used_bw': 0, 'pkt_err': 0, 'pkt_drop': 0, 'distance': 0})
(16, 15, {'free_bw': 0, 'delay': 2.6597976684570312, 'loss': 0, 'used_bw': 0, 'pkt_err': 0, 'pkt_drop': 0, 'distance': 0})
(16, 17, {'free_bw': 0, 'delay': 4.954218864440918, 'loss': 0, 'used_bw': 0, 'pkt_err': 0, 'pkt_drop': 0, 'distance': 0})
(11, 15, {'free_bw': 0, 'delay': 2.1990537643432617, 'loss': 0, 'used_bw': 0, 'pkt_err': 0, 'pkt_drop': 0, 'distance': 0})
(11, 14, {'free_bw': 0, 'delay': 1.9180774688720703, 'loss': 0, 'used_bw': 0, 'pkt_err': 0, 'pkt_drop': 0, 'distance': 0})
(15, 14, {'free_bw': 0, 'delay': 2.8243064880371094, 'loss': 0, 'used_bw': 0, 'pkt_err': 0, 'pkt_drop': 0, 'distance': 0})
(15, 18, {'free_bw': 0, 'delay': 1.7507076263427734, 'loss': 0, 'used_bw': 0, 'pkt_err': 0, 'pkt_drop': 0, 'distance': 0})
(15, 19, {'free_bw': 0, 'delay': 1.8984079360961914, 'loss': 0, 'used_bw': 0, 'pkt_err': 0, 'pkt_drop': 0, 'distance': 0})
(15, 17, {'free_bw': 0, 'delay': 3.4476518630981445, 'loss': 0, 'used_bw': 0, 'pkt_err': 0, 'pkt_drop': 0, 'distance': 0})
(14, 13, {'free_bw': 0, 'delay': 2.781987190246582, 'loss': 0, 'used_bw': 0, 'pkt_err': 0, 'pkt_drop': 0, 'distance': 0})
(14, 19, {'free_bw': 0, 'delay': 2.4164915084838867, 'loss': 0, 'used_bw': 0, 'pkt_err': 0, 'pkt_drop': 0, 'distance': 0})
(13, 20, {'free_bw': 0, 'delay': 4.291415214538574, 'loss': 0, 'used_bw': 0, 'pkt_err': 0, 'pkt_drop': 0, 'distance': 0})
(20, 24, {'free_bw': 0, 'delay': 2.5043487548828125, 'loss': 0, 'used_bw': 0, 'pkt_err': 0, 'pkt_drop': 0, 'distance': 0})
(20, 19, {'free_bw': 0, 'delay': 2.3134946823120117, 'loss': 0, 'used_bw': 0, 'pkt_err': 0, 'pkt_drop': 0, 'distance': 0})
(24, 19, {'free_bw': 0, 'delay': 3.752470016479492, 'loss': 0, 'used_bw': 0, 'pkt_err': 0, 'pkt_drop': 0, 'distance': 0})
(24, 27, {'free_bw': 0, 'delay': 2.6476383209228516, 'loss': 0, 'used_bw': 0, 'pkt_err': 0, 'pkt_drop': 0, 'distance': 0})
(24, 23, {'free_bw': 0, 'delay': 2.447366714477539, 'loss': 0, 'used_bw': 0, 'pkt_err': 0, 'pkt_drop': 0, 'distance': 0})
(18, 19, {'free_bw': 0, 'delay': 2.49481201171875, 'loss': 0, 'used_bw': 0, 'pkt_err': 0, 'pkt_drop': 0, 'distance': 0})
(18, 17, {'free_bw': 0, 'delay': 0.7075071334838867, 'loss': 0, 'used_bw': 0, 'pkt_err': 0, 'pkt_drop': 0, 'distance': 0})
(18, 22, {'free_bw': 0, 'delay': 1.7305612564086914, 'loss': 0, 'used_bw': 0, 'pkt_err': 0, 'pkt_drop': 0, 'distance': 0})
(18, 23, {'free_bw': 0, 'delay': 2.686023712158203, 'loss': 0, 'used_bw': 0, 'pkt_err': 0, 'pkt_drop': 0, 'distance': 0})
(19, 23, {'free_bw': 0, 'delay': 2.827167510986328, 'loss': 0, 'used_bw': 0, 'pkt_err': 0, 'pkt_drop': 0, 'distance': 0})
(23, 26, {'free_bw': 0, 'delay': 2.4749040603637695, 'loss': 0, 'used_bw': 0, 'pkt_err': 0, 'pkt_drop': 0, 'distance': 0})
