(4, 3, {'free_bw': 8.0372256, 'delay': 3.5277605056762695, 'loss': 3.816124938938409e-05, 'used_bw': 9.9627744, 'pkt_err': 0.0, 'pkt_drop': 1, 'distance': 33.54})
(4, 8, {'free_bw': 9.999808364108194, 'delay': 0.9396076202392578, 'loss': 0.0, 'used_bw': 0.00019163589180556497, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 36.06})
(4, 5, {'free_bw': 26.999904028791363, 'delay': 3.0966997146606445, 'loss': 0.0, 'used_bw': 9.59712086374029e-05, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 33.54})
(4, 6, {'free_bw': 1.1601919808012244, 'delay': 2.963542938232422, 'loss': 0.0, 'used_bw': 9.839808019198776, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 25.0})
(3, 5, {'free_bw': 24.999904028791363, 'delay': 3.13723087310791, 'loss': 0.0, 'used_bw': 9.59712086374029e-05, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 30.0})
(3, 2, {'free_bw': 22.999904, 'delay': 5.448341369628906, 'loss': 0.0, 'used_bw': 9.6e-05, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 33.54})
(5, 6, {'free_bw': 13.247981605518941, 'delay': 3.237009048461914, 'loss': 0.0005988401575025419, 'used_bw': 9.752018394481059, 'pkt_err': 0.0, 'pkt_drop': 11, 'distance': 31.62})
(7, 6, {'free_bw': 3.2463395320930903, 'delay': 2.2243261337280273, 'loss': 0.0003290622679815387, 'used_bw': 9.75366046790691, 'pkt_err': 0.0, 'pkt_drop': 6, 'distance': 31.62})
(7, 12, {'free_bw': 5.2475504899015295, 'delay': 1.518845558166504, 'loss': 0.0002697799048415796, 'used_bw': 9.75244951009847, 'pkt_err': 0.0, 'pkt_drop': 5, 'distance': 30.0})
(7, 8, {'free_bw': 23.999856273081146, 'delay': 0.15103816986083984, 'loss': 0.0, 'used_bw': 0.00014372691885417374, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 46.1})
(8, 10, {'free_bw': 23.9999041820541, 'delay': 1.9005537033081055, 'loss': 0.0, 'used_bw': 9.581794590278249e-05, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 46.1})
(8, 2, {'free_bw': 16.221572612037356, 'delay': 0.6197690963745117, 'loss': 0.0006948414477047786, 'used_bw': 9.778427387962642, 'pkt_err': 0.0, 'pkt_drop': 12, 'distance': 38.08})
(8, 11, {'free_bw': 19.327228954209552, 'delay': 1.293182373046875, 'loss': 0.0003981055359327552, 'used_bw': 9.672771045790446, 'pkt_err': 0.0, 'pkt_drop': 7, 'distance': 40.31})
(10, 9, {'free_bw': 29.997077552649966, 'delay': 0.8423328399658203, 'loss': 0.0, 'used_bw': 0.002922447350034866, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 31.62})
(10, 16, {'free_bw': 19.997072585482904, 'delay': 3.1298398971557617, 'loss': 0.0, 'used_bw': 0.0029274145170967276, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 41.23})
(9, 2, {'free_bw': 20.999856273081146, 'delay': 0, 'loss': 0.0, 'used_bw': 0.00014372691885417374, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 42.72})
(9, 1, {'free_bw': 25.997077552649966, 'delay': 0.5277395248413086, 'loss': 0.0, 'used_bw': 0.002922447350034866, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 31.62})
(12, 14, {'free_bw': 18.999904028791363, 'delay': 2.9674768447875977, 'loss': 0.0, 'used_bw': 9.59712086374029e-05, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 36.06})
(12, 11, {'free_bw': 14.243362527494012, 'delay': 1.8229484558105469, 'loss': 0.00028354501020894546, 'used_bw': 9.756637472505988, 'pkt_err': 0.0, 'pkt_drop': 7, 'distance': 50.0})
(12, 13, {'free_bw': 8.33354744525567, 'delay': 2.3119449615478516, 'loss': 0.0006048431437286266, 'used_bw': 9.66645255474433, 'pkt_err': 0.0, 'pkt_drop': 11, 'distance': 31.62})
