(4, 3, {'free_bw': 8.036470094857133, 'delay': 0, 'loss': 0.000556751479436256, 'used_bw': 9.963529905142867, 'pkt_err': 0.0, 'pkt_drop': 17, 'distance': 33.54})
(4, 8, {'free_bw': 9.999904143784324, 'delay': 0, 'loss': 0.0, 'used_bw': 9.585621567649085e-05, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 36.06})
(4, 5, {'free_bw': 26.999856215676484, 'delay': 0, 'loss': 0.0, 'used_bw': 0.00014378432351472322, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 33.54})
(4, 6, {'free_bw': 1.132867412140202, 'delay': 0, 'loss': 3.5928304382312783e-05, 'used_bw': 9.867132587859798, 'pkt_err': 0.0, 'pkt_drop': 1, 'distance': 25.0})
(3, 5, {'free_bw': 24.999856143856142, 'delay': 2.2350549697875977, 'loss': 0.0, 'used_bw': 0.00014385614385614074, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 30.0})
(3, 2, {'free_bw': 22.99990408632231, 'delay': 1.8783807754516602, 'loss': 0.0, 'used_bw': 9.591367769007878e-05, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 33.54})
(5, 6, {'free_bw': 13.234763578274391, 'delay': 3.1728744506835938, 'loss': 0.00038100021238104194, 'used_bw': 9.765236421725609, 'pkt_err': 0.0, 'pkt_drop': 8, 'distance': 31.62})
(7, 6, {'free_bw': 3.236056349285656, 'delay': 2.2510290145874023, 'loss': 0.0006787952201550967, 'used_bw': 9.763943650714344, 'pkt_err': 0.0, 'pkt_drop': 14, 'distance': 31.62})
(7, 12, {'free_bw': 5.236056349285656, 'delay': 2.1593570709228516, 'loss': 0.0007860972966734441, 'used_bw': 9.763943650714344, 'pkt_err': 0.0, 'pkt_drop': 16, 'distance': 30.0})
(7, 8, {'free_bw': 23.999808268424207, 'delay': 3.312230110168457, 'loss': 0.0, 'used_bw': 0.0001917315757939036, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 46.1})
(8, 10, {'free_bw': 23.999904134212102, 'delay': 2.455592155456543, 'loss': 0.0, 'used_bw': 9.586578789694309e-05, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 46.1})
(8, 2, {'free_bw': 16.237055322548553, 'delay': 2.19571590423584, 'loss': 0.0007407867613998586, 'used_bw': 9.762944677451447, 'pkt_err': 0.0, 'pkt_drop': 15, 'distance': 38.08})
(8, 11, {'free_bw': 19.320044759716268, 'delay': 2.9125213623046875, 'loss': 0.0005235320913685802, 'used_bw': 9.679955240283732, 'pkt_err': 0.0, 'pkt_drop': 10, 'distance': 40.31})
(10, 9, {'free_bw': 29.06264748201437, 'delay': 4.420280456542969, 'loss': 0.00013598253398299293, 'used_bw': 0.9373525179856292, 'pkt_err': 0.0, 'pkt_drop': 2, 'distance': 31.62})
(10, 16, {'free_bw': 19.074842241982218, 'delay': 2.8635263442993164, 'loss': 0.0, 'used_bw': 0.9251577580177827, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 41.23})
(9, 2, {'free_bw': 20.999904134212102, 'delay': 3.041505813598633, 'loss': 0.0, 'used_bw': 9.586578789694309e-05, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 42.72})
(9, 1, {'free_bw': 25.060974333366616, 'delay': 2.2295713424682617, 'loss': 0.0, 'used_bw': 0.939025666633384, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 31.62})
(12, 14, {'free_bw': 18.99985623003195, 'delay': 1.9887685775756836, 'loss': 0.0, 'used_bw': 0.00014376996805112364, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 36.06})
