(4, 3, {'free_bw': 15.676127897682022, 'delay': 2.105116844177246, 'loss': 0.0, 'used_bw': 2.3238721023179782, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 33.54})
(4, 8, {'free_bw': 9.99990407673861, 'delay': 244.581937789917, 'loss': 0.0, 'used_bw': 9.592326139088911e-05, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 36.06})
(4, 5, {'free_bw': 26.999856115107914, 'delay': 1.2714862823486328, 'loss': 0.0, 'used_bw': 0.00014388489208633364, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 33.54})
(4, 6, {'free_bw': 8.704550730438191, 'delay': 1.5085935592651367, 'loss': 0.00016035159955093777, 'used_bw': 2.295449269561809, 'pkt_err': 0.0, 'pkt_drop': 1, 'distance': 25.0})
(3, 5, {'free_bw': 24.99990407673861, 'delay': 1.8296241760253906, 'loss': 0.0, 'used_bw': 9.592326139088039e-05, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 30.0})
(3, 2, {'free_bw': 22.99990407673861, 'delay': 2.1489858627319336, 'loss': 0.0, 'used_bw': 9.592326139088911e-05, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 33.54})
(5, 6, {'free_bw': 20.546214928957298, 'delay': 2.7660131454467773, 'loss': 0.00020577470732723008, 'used_bw': 2.4537850710427027, 'pkt_err': 0.0, 'pkt_drop': 4, 'distance': 31.62})
(7, 6, {'free_bw': 10.544668401040548, 'delay': 2.807497978210449, 'loss': 0.00020577486122009555, 'used_bw': 2.4553315989594524, 'pkt_err': 0.0, 'pkt_drop': 4, 'distance': 31.62})
(7, 12, {'free_bw': 12.54810311750595, 'delay': 3.351926803588867, 'loss': 0.00010288716530091153, 'used_bw': 2.451896882494051, 'pkt_err': 0.0, 'pkt_drop': 2, 'distance': 30.0})
(7, 8, {'free_bw': 23.99990407673861, 'delay': 2.695441246032715, 'loss': 0.0, 'used_bw': 9.592326139088911e-05, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 46.1})
(8, 10, {'free_bw': 23.999904067152993, 'delay': 1.882791519165039, 'loss': 0.0, 'used_bw': 9.59328470070988e-05, 'pkt_err': 0.0, 'pkt_drop': 0, 'distance': 46.1})
